Tahun;Jenis_Pajak;Target;Realisasi;Persentase;Tingkat_Kepatuhan
2016;Pajak Hotel;6000000000;6864568010;114;Sangat Patuh
2017;Pajak Hotel;7400000000;7708131245;104;Sangat Patuh
2018;Pajak Hotel;10000000000;10387206836;104;Sangat Patuh
2019;Pajak Hotel;11500000000;10494345926;91;Patuh
2020;Pajak Hotel;7247902663;2737892676;38;Tidak Patuh
2021;Pajak Hotel;5000000000;6661447114;133;Sangat Patuh
2022;Pajak Hotel;11500000000;11691202409;102;Sangat Patuh
2023;Pajak Hotel;12000000000;12670085243;106;Sangat Patuh
2024;Pajak Hotel;19000000000;13371545157;70;Tidak Patuh
2016;Pajak Restoran;4500000000;7430280178;165;Sangat Patuh
2017;Pajak Restoran;8500000000;13247370569;156;Sangat Patuh
2018;Pajak Restoran;15000000000;17558191752;117;Sangat Patuh
2019;Pajak Restoran;20500000000;23978602288;117;Sangat Patuh
2020;Pajak Restoran;13000000000;13539859567;104;Sangat Patuh
2021;Pajak Restoran;20000000000;19573620505;98;Patuh
2022;Pajak Restoran;65166838975;30341525352;47;Tidak Patuh
2023;Pajak Restoran;58760000000;36717022090;62;Tidak Patuh
2024;Pajak Restoran;42000000000;42220076924;101;Sangat Patuh
2016;Pajak Hiburan;1700000000;1933326583;114;Sangat Patuh
2017;Pajak Hiburan;3400000000;3834450766;113;Sangat Patuh
2018;Pajak Hiburan;5200000000;5471811499;105;Sangat Patuh
2019;Pajak Hiburan;5700000000;5786016513;102;Sangat Patuh
2020;Pajak Hiburan;1703915475;1548035044;91;Patuh
2021;Pajak Hiburan;7300000000;663337982;9;Tidak Patuh
2022;Pajak Hiburan;3305132025;3745164050;113;Sangat Patuh
2023;Pajak Hiburan;4120000000;4259451909;103;Sangat Patuh
2024;Pajak Hiburan;6800000000;5288927735;78;Tidak Patuh
2016;Pajak Reklame;2500000000;2680641283;107;Sangat Patuh
2017;Pajak Reklame;3500000000;3669872765;105;Sangat Patuh
2018;Pajak Reklame;3500000000;3807271536;109;Sangat Patuh
2019;Pajak Reklame;3700000000;3739318935;101;Sangat Patuh
2020;Pajak Reklame;3256263025;3305739083;102;Sangat Patuh
2021;Pajak Reklame;3000000000;3234454505;108;Sangat Patuh
2022;Pajak Reklame;4000000000;4446084050;111;Sangat Patuh
2023;Pajak Reklame;4600000000;4755959227;103;Sangat Patuh
2024;Pajak Reklame;5950000000;5254079339;88;Cukup Patuh
2016;Pajak Penerang Jalan (PPJ);40000000000;49331136399;123;Sangat Patuh
2017;Pajak Penerang Jalan (PPJ);59000000000;61261440735;104;Sangat Patuh
2018;Pajak Penerang Jalan (PPJ);64500000000;65335995963;101;Sangat Patuh
2019;Pajak Penerang Jalan (PPJ);67500000000;69951026404;104;Sangat Patuh
2020;Pajak Penerang Jalan (PPJ);65000000000;67322345799;104;Sangat Patuh
2021;Pajak Penerang Jalan (PPJ);65000000000;69076634126;106;Sangat Patuh
2022;Pajak Penerang Jalan (PPJ);79000000000;79981345497;101;Sangat Patuh
2023;Pajak Penerang Jalan (PPJ);83600000000;85352654734;102;Sangat Patuh
2024;Pajak Penerang Jalan (PPJ);92000000000;93682627907;102;Sangat Patuh
2016;Pajak Parkir;650000000;823658697;127;Sangat Patuh
2017;Pajak Parkir;1200000000;1250898015;104;Sangat Patuh
2018;Pajak Parkir;1500000000;1649995533;110;Sangat Patuh
2019;Pajak Parkir;1750000000;1856193837;106;Sangat Patuh
2020;Pajak Parkir;1000000000;1023470294;102;Sangat Patuh
2021;Pajak Parkir;1000000000;1067145250;107;Sangat Patuh
2022;Pajak Parkir;1850000000;1954749591;106;Sangat Patuh
2023;Pajak Parkir;2100000000;2402708352;114;Sangat Patuh
2024;Pajak Parkir;1700000000;1443328039;85;Cukup Patuh
2016;Pajak Air Bawah Tanah;450000000;630190185;140;Sangat Patuh
2017;Pajak Air Bawah Tanah;650000000;811077551;125;Sangat Patuh
2018;Pajak Air Bawah Tanah;1000000000;1183155955;118;Sangat Patuh
2019;Pajak Air Bawah Tanah;1500000000;1386870756;92;Patuh
2020;Pajak Air Bawah Tanah;1218035440;1312956369;108;Sangat Patuh
2021;Pajak Air Bawah Tanah;1450000000;1535813859;106;Sangat Patuh
2022;Pajak Air Bawah Tanah;1550000000;1516529774;98;Patuh
2023;Pajak Air Bawah Tanah;1520000000;1556491918;102;Sangat Patuh
2024;Pajak Air Bawah Tanah;2550000000;1612126080;63;Tidak Patuh
2016;Pajak Gol C;2500000000;3556248433;142;Sangat Patuh
2017;Pajak Gol C;4000000000;5241899966;131;Sangat Patuh
2018;Pajak Gol C;7000000000;5870050797;84;Cukup Patuh
2019;Pajak Gol C;7000000000;8713070747;124;Sangat Patuh
2020;Pajak Gol C;4132208857;5852070118;142;Sangat Patuh
2021;Pajak Gol C;6000000000;7642314183;127;Sangat Patuh
2022;Pajak Gol C;10000000000;7932886217;79;Tidak Patuh
2023;Pajak Gol C;7000000000;6746691636;96;Patuh
2024;Pajak Gol C;7000000000;7252366600;104;Sangat Patuh
2016;Pajak PBB;42650000000;43880094594;103;Sangat Patuh
2017;Pajak PBB;44000000000;49427525188;112;Sangat Patuh
2018;Pajak PBB;50000000000;50998303333;102;Sangat Patuh
2019;Pajak PBB;51500000000;52138775937;101;Sangat Patuh
2020;Pajak PBB;60000000000;60872218032;101;Sangat Patuh
2021;Pajak PBB;60000000000;60600524027;101;Sangat Patuh
2022;Pajak PBB;75174500000;64804027332;86;Cukup Patuh
2023;Pajak PBB;70200000000;70531251500;100;Sangat Patuh
2024;Pajak PBB;75100000000;72467522586;96;Patuh
2016;Pajak BPHTB;22000000000;30226007617;137;Sangat Patuh
2017;Pajak BPHTB;34000000000;53159664642;156;Sangat Patuh
2018;Pajak BPHTB;42500000000;49288308640;116;Sangat Patuh
2019;Pajak BPHTB;48500000000;51333064430;106;Sangat Patuh
2020;Pajak BPHTB;50000000000;51109762850;102;Sangat Patuh
2021;Pajak BPHTB;69137970118;52470490737;76;Tidak Patuh
2022;Pajak BPHTB;56000000000;60822550105;109;Sangat Patuh
2023;Pajak BPHTB;71100000000;71524635999;101;Sangat Patuh
2024;Pajak BPHTB;85000000000;80327448182;95;Patuh
2016;Retribusi Pelayanan Persampahan Kebersihan;870000000;1001833800;115;Sangat Patuh
2017;Retribusi Pelayanan Persampahan Kebersihan;1320000000;1154973200;87;Cukup Patuh
2018;Retribusi Pelayanan Persampahan Kebersihan;1142000000;1159886440;102;Sangat Patuh
2019;Retribusi Pelayanan Persampahan Kebersihan;210000000;226070000;108;Sangat Patuh
2020;Retribusi Pelayanan Persampahan Kebersihan;43300000;87219000;201;Sangat Patuh
2021;Retribusi Pelayanan Persampahan Kebersihan;97288000;97288000;100;Sangat Patuh
2022;Retribusi Pelayanan Persampahan Kebersihan;1400000000;1288800000;92;Patuh
2023;Retribusi Pelayanan Persampahan Kebersihan;320000000;152122000;48;Tidak Patuh
2024;Retribusi Pelayanan Persampahan Kebersihan;436000000;639264458;147;Sangat Patuh
2016;Retribusi Pelayanan Parkir Tepi Jalan Umum ;1603980000;1568820000;98;Patuh
2017;Retribusi Pelayanan Parkir Tepi Jalan Umum ;1500000000;1415499000;94;Patuh
2018;Retribusi Pelayanan Parkir Tepi Jalan Umum ;1400000000;1405758000;100;Sangat Patuh
2019;Retribusi Pelayanan Parkir Tepi Jalan Umum ;1500000000;1408375000;94;Patuh
2020;Retribusi Pelayanan Parkir Tepi Jalan Umum ;867000000;931466000;107;Sangat Patuh
2021;Retribusi Pelayanan Parkir Tepi Jalan Umum ;787236000;787236000;100;Sangat Patuh
2022;Retribusi Pelayanan Parkir Tepi Jalan Umum ;1500000000;1215800000;81;Cukup Patuh
2023;Retribusi Pelayanan Parkir Tepi Jalan Umum ;1500000000;1310632600;87;Cukup Patuh
2024;Retribusi Pelayanan Parkir Tepi Jalan Umum ;1575000000;1330940000;85;Cukup Patuh
2016;Retribusi Pelayanan Pasar;3750000000;3008894768;80;Cukup Patuh
2017;Retribusi Pelayanan Pasar;3045000000;2981851035;98;Patuh
2018;Retribusi Pelayanan Pasar;2820000000;2801295450;99;Patuh
2019;Retribusi Pelayanan Pasar;4695000000;5019969346;107;Sangat Patuh
2020;Retribusi Pelayanan Pasar;4985000000;4731167731;95;Patuh
2021;Retribusi Pelayanan Pasar;4050469207;4050469207;100;Sangat Patuh
2022;Retribusi Pelayanan Pasar;4650000000;5865677722;126;Sangat Patuh
